Scale,Item,Theme_Label,Question,N,Mean,SD,Negative_pct_1_2,Neutral_pct_3,Positive_pct_4_5,Rating_1_count,Rating_1_pct,Rating_2_count,Rating_2_pct,Rating_3_count,Rating_3_pct,Rating_4_count,Rating_4_pct,Rating_5_count,Rating_5_pct
B,B1,Turning to AI unconsciously,"When programming, even for tasks I can easily complete on my own, I still unconsciously turn to generative AI tools to generate code.",40,3.95,1.011,0.125,0.15,0.725,0,0.0,5,0.125,6,0.15,15,0.375,14,0.35
B,B2,Asking AI before trying,"When encountering programming problems, I first turn to generative AI rather than attempting to think independently or consult documentation.",40,3.85,1.001,0.15,0.125,0.725,0,0.0,6,0.15,5,0.125,18,0.45,11,0.275
B,B3,Switching to another AI tool,"When the suggestions provided by one generative AI tool fail to resolve a programming problem immediately, I switch to another generative AI tool to continue programming.",40,3.85,1.292,0.2,0.075,0.725,3,0.075,5,0.125,3,0.075,13,0.325,16,0.4
B,B4,Relying on AI for debugging,"When code generated by a generative AI tool contains errors, I am more inclined to rely on another generative AI tool for debugging rather than analyzing the code line by line myself.",40,3.9,1.128,0.125,0.15,0.725,2,0.05,3,0.075,6,0.15,15,0.375,14,0.35
B,B5,Concerned about AI use,My use of generative AI has caused concerns for me.,40,3.175,1.375,0.35,0.175,0.475,6,0.15,8,0.2,7,0.175,11,0.275,8,0.2
B,B6,Hard to work without AI,I have trouble completing work or other responsibilities without generative AI.,40,3.825,1.196,0.125,0.2,0.675,3,0.075,2,0.05,8,0.2,13,0.325,14,0.35
B,B7,Less confident without AI,I feel less confident in my abilities without generative AI.,40,3.7,1.324,0.225,0.15,0.625,3,0.075,6,0.15,6,0.15,10,0.25,15,0.375
B,B8,Reduced problem-solving ability,My use of generative AI has negatively affected my problem-solving skills or efficiency.,40,2.675,1.118,0.475,0.275,0.25,6,0.15,13,0.325,11,0.275,8,0.2,2,0.05
C,C1.1,Efficiency,AI tools help me to learn programming more efficiently.,40,4.2,0.853,0.075,0.05,0.875,0,0.0,3,0.075,2,0.05,19,0.475,16,0.4
C,C1.2,Improved performance,AI tools improve my programming performance.,40,4.4,0.841,0.05,0.075,0.875,0,0.0,2,0.05,3,0.075,12,0.3,23,0.575
C,C1.3,Effective learning,AI tools make my learning more effective.,40,4.325,0.694,0.025,0.05,0.925,0,0.0,1,0.025,2,0.05,20,0.5,17,0.425
C,C1.4,Easier learning,AI tools make it easier to learn programming.,40,4.35,0.834,0.05,0.075,0.875,0,0.0,2,0.05,3,0.075,14,0.35,21,0.525
C,C1.5,Overall benefit,"Overall, AI tools are advantageous for my programming learning.",40,4.325,0.73,0.025,0.075,0.9,0,0.0,1,0.025,3,0.075,18,0.45,18,0.45
C,C2.1,Undermines education value,Using generative AI technologies such as AI tools to complete assignments undermines the value of a university education.,40,2.8,1.285,0.5,0.175,0.325,6,0.15,14,0.35,7,0.175,8,0.2,5,0.125
C,C2.2,Limits social interaction,Generative AI technologies such as AI tools will limit my opportunities to interact with others and socialize while completing coursework.,40,2.35,1.145,0.625,0.2,0.175,10,0.25,15,0.375,8,0.2,5,0.125,2,0.05
C,C2.3,Hinders skill development,"Generative AI technologies such as AI tools will hinder my development of generic or transferable skills such as teamwork, problem-solving, and leadership skills.",40,2.25,1.056,0.675,0.175,0.15,10,0.25,17,0.425,7,0.175,5,0.125,1,0.025
C,C2.4,Over-reliance,I can become over-reliant on generative AI technologies.,40,4.05,0.846,0.05,0.175,0.775,0,0.0,2,0.05,7,0.175,18,0.45,13,0.325
C,C3.1,Helpfulness,Are AI tools helpful for learning programming?,40,4.4,0.841,0.025,0.075,0.9,1,0.025,0,0.0,3,0.075,14,0.35,22,0.55
C,C3.2,Continued use,Will you keep using AI tools for learning programming?,40,4.45,0.677,0.0,0.1,0.9,0,0.0,0,0.0,4,0.1,14,0.35,22,0.55
C,C3.3,Frequent use,Will you use AI tools often?,40,4.575,0.636,0.0,0.075,0.925,0,0.0,0,0.0,3,0.075,11,0.275,26,0.65
C,C3.4,Recommendation,Will you recommend AI tools to friends?,40,4.6,0.672,0.025,0.025,0.95,0,0.0,1,0.025,1,0.025,11,0.275,27,0.675
C,C4.1,Correct code,Correct programming code,40,4.375,0.807,0.05,0.05,0.9,0,0.0,2,0.05,2,0.05,15,0.375,21,0.525
C,C4.2,Answer questions,Answer programming questions,40,4.3,0.966,0.05,0.125,0.825,1,0.025,1,0.025,5,0.125,11,0.275,22,0.55
C,C4.3,Code examples,Provide examples of programming code,40,4.325,0.859,0.025,0.1,0.875,1,0.025,0,0.0,4,0.1,15,0.375,20,0.5
C,C4.4,Advice/resources,Offer learning advice and resources,40,4.25,0.954,0.05,0.125,0.825,1,0.025,1,0.025,5,0.125,13,0.325,20,0.5
C,C4.5,Explain concepts,Explain programming concepts,40,4.525,0.64,0.0,0.075,0.925,0,0.0,0,0.0,3,0.075,13,0.325,24,0.6
