Analysis_Scope,Theme,Analysis_Unit_Count,Code_Occurrence_Count,Participant_Count
C1-C4,AI as a Practical Learning and Programming Support Tool,426,221,37
C1-C4,AI as a Personalized Conceptual Learning Companion,279,95,33
C1-C4,Concerns about Dependency and Skill Development,188,66,27
C1-C4,Responsible and Strategic Use of AI,75,24,17
C1-C4,"Trust, Accuracy, and Verification Concerns",81,21,13
C5,Guided and Responsible Learning Support,56,28,20
C5,Personalized and Context-aware Programming Support,36,18,10
C5,Conceptual Explanation and Practice Support,52,19,14
C5,Trustworthy and Verifiable AI Assistance,19,5,5
C5,"Usability, Access, and Integration Improvement",27,15,13
